EVENT ID,AUTHOR,DATE,TIME,LAT.,LONG.,DEPTH,DEPFIX,AUTHOR,TYPE,MAG.,AUTHOR,TYPE,MAG.
1,ISC,1964-09-26,0:46:02,29.8553,80.452,29.9,,ISC,mb,6,,,
2,ISC,1964-10-21,23:09:19,28.0827,93.8315,20.2,,ISC,mb,6,ISC,MS,6.8
3,ISC,1965-01-12,13:32:26,27.3829,87.8286,22.8,,ISC,mb,6.1,,,
4,ISC,1966-03-06,2:15:55,31.373,80.5448,17.3,,ISC,mb,6,ISC,MS,6.5
5,ISC,1966-06-27,10:41:09,29.4815,80.8388,27.9,,ISC,mb,6,ISC,MS,6.3
6,ISC,1966-06-27,10:59:19,29.7075,80.9233,23.8,,ISC,mb,6,ISC,MS,6.5
7,ISC,1966-12-16,20:52:17,29.5431,80.8488,15.8,,ISC,MS,6,,,
8,ISC,1967-03-14,6:58:06,28.4311,94.2144,18.8,,ISC,MS,6,,,
9,ISC,1967-09-15,10:32:44,27.3343,91.877,13,,ISC,mb,6,,,
10,ISC,1971-05-22,20:03:31,32.304,92.1004,5.9,,ISC,MS,6.2,,,
11,ISC,1973-09-08,7:25:42,33.1915,86.8693,7.8,,ISC,MS,6,,,
12,ISC,1975-01-19,8:02:01,32.3511,78.487,12.9,,ISC,mb,6.4,ISC,MS,7
13,ISC,1975-05-05,5:18:47,33.0852,92.8762,4.5,,ISC,MS,6.3,,,
14,ISC,1977-11-18,5:20:11,32.645,88.5119,11,,ISC,MS,6.5,,,
15,ISC,1978-04-04,0:40:29,32.7793,82.2939,6.6,,ISC,MS,6.2,,,
16,ISC,1980-02-22,3:02:45,30.5052,88.6477,4.3,,ISC,MS,6.3,,,
17,ISC,1980-07-29,14:58:43,29.58,81.0481,17.5,,ISC,mb,6.1,ISC,MS,6.5
18,ISC,1980-11-19,19:00:52,27.3596,88.7832,43.5,,ISC,mb,6.1,ISC,MS,6.2
19,ISC,1982-01-23,17:37:30,31.6787,82.2471,17.3,,ISC,mb,6.1,ISC,MS,6.7
20,ISC,1986-06-20,17:12:46,31.1279,86.7831,11.8,,ISC,mb,6.1,ISC,MS,6.2
21,ISC,1987-05-18,1:53:53,25.2727,94.2182,53.9,,ISC,MS,6,,,
22,ISC,1988-08-20,23:09:11,26.7162,86.6247,58.1,,ISC,mb,6.5,ISC,MS,6.7
23,ISC,1991-10-19,21:23:15,30.7697,78.7914,13.2,,ISC,mb,6.4,ISC,MS,6.9
24,ISC,1992-07-30,8:24:49,29.5658,90.1799,31.4,,ISC,MS,6,,,
25,ISC,1993-03-20,14:52:00,29.027,87.3284,12.2,TRUE,ISC,MS,6.1,,,
26,ISC,1998-09-03,18:15:52,27.8631,86.9496,2.6,,ISC,MS,6,,,
27,ISC,1999-03-28,19:05:12,30.511,79.421,22.9,,ISC,mb,6.3,ISC,MS,6.6
28,ISC,1999-03-28,19:36:09,30.31,79.364,36.3,,ISC,MS,6.1,,,
29,ISC,2004-03-27,18:45:28,33.9433,89.2131,32,,ISC,MS,6,,,
30,ISC,2004-03-27,18:47:28,33.9886,89.1815,9,TRUE,ISC,mb,6,,,
31,ISC,2004-07-11,23:08:42,30.719,83.6663,8.1,,ISC,MS,6.2,,,
32,ISC,2005-04-07,20:04:40,30.5171,83.6553,14.7,,ISC,MS,6.1,,,
33,ISC,2008-01-09,8:26:49,32.4042,85.2551,27.7,,ISC,mb,6.2,ISC,MS,6.4
34,ISC,2008-08-25,13:22:02,31.0612,83.6521,25.5,,ISC,mb,6,ISC,MS,6.6
35,ISC,2008-10-06,8:30:45,29.8445,90.3787,6.4,,ISC,mb,6,ISC,MS,6.2
36,ISC,2009-09-21,8:53:06,27.3693,91.4597,16.1,,ISC,mb,6,ISC,MS,6.2
37,ISC,2011-02-04,13:53:46,24.6094,94.7347,86.5,,ISC,mb,6.4,,,
38,ISC,2011-09-18,12:40:50,27.8039,88.1536,29.6,,ISC,mb,6.5,ISC,MS,6.7
39,ISC,2015-04-25,6:11:27,28.1302,84.7168,13.4,,ISC,mb,6.9,ISC,MS,7.9
40,ISC,2015-04-25,6:15:23,27.6342,85.4762,10,TRUE,ISC,mb,6.1,,,
41,ISC,2015-04-25,6:45:21,28.1603,84.8433,14.7,,ISC,mb,6.5,ISC,MS,6.9
42,ISC,2015-04-26,7:09:09,27.7365,85.9788,13.4,,ISC,mb,6.6,ISC,MS,7
43,ISC,2015-05-12,7:05:19,27.8014,86.126,12.3,,ISC,mb,6.7,ISC,MS,7.6
44,ISC,2015-05-12,7:36:53,27.5248,86.1418,13.8,,ISC,mb,6.1,,,
45,ISC,2016-01-03,23:05:21,24.8308,93.6047,49.5,,ISC,mb,6.6,ISC,MS,6.3
46,ISC,2016-10-17,7:14:49,32.8558,94.8768,25.2,,ISC,mb,6.1,ISC,MS,6